Oct 11 2017,Back Squat,1,10,45
Oct 11 2017,Back Squat,1,10,135
Oct 11 2017,Back Squat,1,3,185
Oct 11 2017,Back Squat,1,6,245
Oct 11 2017,Back Squat,1,6,245
Oct 11 2017,Back Squat,1,6,245
Oct 11 2017,Back Squat,1,6,245
Oct 05 2017,Barbell Bench Press,1,4,45
Oct 05 2017,Barbell Bench Press,1,4,125
Oct 05 2017,Barbell Bench Press,1,2,185
Oct 05 2017,Barbell Bench Press,1,2,205
Oct 05 2017,Barbell Bench Press,1,2,225
Oct 05 2017,Barbell Bench Press,1,2,225
Oct 05 2017,Barbell Bench Press,1,2,225
Oct 05 2017,Barbell Bench Press,1,2,225
Oct 05 2017,Barbell Bench Press,1,2,225
Oct 04 2017,Back Squat,1,10,45
Oct 04 2017,Back Squat,1,8,110
Oct 04 2017,Back Squat,1,6,185
Oct 04 2017,Back Squat,1,6,205
Oct 04 2017,Back Squat,1,6,245
Sep 28 2017,Back Squat,1,8,45
Sep 28 2017,Back Squat,1,8,135
Sep 28 2017,Back Squat,1,4,220
Sep 28 2017,Back Squat,1,3,260
Sep 28 2017,Back Squat,1,4,260
Sep 28 2017,Back Squat,1,4,260
Sep 28 2017,Back Squat,1,4,260
Sep 28 2017,Back Squat,1,4,260
Sep 28 2017,Barbell Bench Press,1,10,45
Sep 28 2017,Barbell Bench Press,1,8,135
Sep 28 2017,Barbell Bench Press,1,6,185
Sep 28 2017,Barbell Bench Press,1,6,185
Sep 28 2017,Barbell Bench Press,1,6,185
Sep 28 2017,Barbell Bench Press,1,6,185
Sep 26 2017,Deadlift,1,6,45
Sep 26 2017,Deadlift,1,6,135
Sep 26 2017,Deadlift,1,3,225
Sep 26 2017,Deadlift,1,3,275
Sep 26 2017,Deadlift,1,3,295
Sep 26 2017,Deadlift,1,3,315
Sep 26 2017,Deadlift,1,3,315
Sep 26 2017,Deadlift,1,3,315
Sep 22 2017,Barbell Bench Press,1,8,45
Sep 22 2017,Barbell Bench Press,1,8,125
Sep 22 2017,Barbell Bench Press,1,3,185
Sep 22 2017,Barbell Bench Press,1,4,205
Sep 22 2017,Barbell Bench Press,1,4,215
Sep 22 2017,Barbell Bench Press,1,4,215
Sep 22 2017,Barbell Bench Press,1,4,215
Sep 21 2017,Back Squat,1,8,45
Sep 21 2017,Back Squat,1,8,135
Sep 21 2017,Back Squat,1,3,220
Sep 21 2017,Back Squat,1,4,245
Sep 21 2017,Back Squat,1,4,255
Sep 21 2017,Back Squat,1,4,255
Sep 21 2017,Back Squat,1,4,255
Sep 20 2017,Barbell Bench Press,1,10,45
Sep 20 2017,Barbell Bench Press,1,8,135
Sep 20 2017,Barbell Bench Press,1,8,185
Sep 20 2017,Barbell Bench Press,1,8,185
Sep 20 2017,Barbell Bench Press,1,6,185
Sep 20 2017,Barbell Bench Press,1,6,185
Sep 15 2017,Back Squat,1,4,45
Sep 15 2017,Back Squat,1,4,135
Sep 15 2017,Back Squat,1,2,220
Sep 15 2017,Back Squat,1,2,245
Sep 15 2017,Back Squat,1,2,255
Sep 15 2017,Back Squat,1,2,265
Sep 15 2017,Back Squat,1,2,265
Sep 15 2017,Back Squat,1,2,265
Sep 15 2017,Back Squat,1,2,265
Sep 14 2017,Deadlift,1,10,45
Sep 14 2017,Deadlift,1,10,135
Sep 14 2017,Deadlift,1,5,205
Sep 14 2017,Deadlift,1,3,250
Sep 14 2017,Deadlift,1,5,285
Sep 14 2017,Deadlift,1,5,285
Sep 14 2017,Deadlift,1,5,285
